EHMT2	ENSP00000382886
HSPA1L	ENSP00000372881
C6orf15	ENSP00000399436
PSORS1C1	ENSP00000389875
PSORS1C2	ENSP00000414952
RNF39	ENSP00000393560
PSMB8	ENSP00000402406
CCHCR1	ENSP00000393042
COL11A2	ENSP00000448715
TRIM39	ENSP00000411949
SLC44A4	ENSP00000372870
BAG6	ENSP00000447546
DHX16	ENSP00000390938
APOM	ENSP00000401684
LSM2	ENSP00000372883
PPP1R11	ENSP00000414808
VWA7	ENSP00000413704
FLOT1	ENSP00000391438
HLA-DQA2	ENSP00000387768
BTNL2	ENSP00000448929
GTF2H4	ENSP00000396251
RING1	ENSP00000396271
LY6G6C	ENSP00000372905
TRIM40	ENSP00000416950
SFTA2	ENSP00000409248
TRIM15	ENSP00000413961
TRIM31	ENSP00000411879
HLA-DQB1	ENSP00000411427
RPP21	ENSP00000412619
TAP1	ENSP00000405356
HLA-F	ENSP00000373008
MAS1L	ENSP00000405164
HLA-DPA1	ENSP00000406250
HSPA1B	ENSP00000375399
AIF1	ENSP00000393996
MSH5	ENSP00000394619
MPIG6B	ENSP00000391097
RPS18	ENSP00000412583
IER3	ENSP00000397956
HLA-DMA	ENSP00000415844
BRD2	ENSP00000413845
HLA-DOA	ENSP00000401504
MDC1	ENSP00000396484
NRM	ENSP00000397755
HSD17B8	ENSP00000413950
AGPAT1	ENSP00000387810
EGFL8	ENSP00000390866
MOG	ENSP00000398394
DDR1	ENSP00000448377
TAP2	ENSP00000372599
C6orf47	ENSP00000375392
ZFP57	ENSP00000449230
ABHD16A	ENSP00000407727
HLA-G	ENSP00000383506
PSMB9	ENSP00000396813
LY6G5B	ENSP00000407899
PRRC2A	ENSP00000387910
LST1	ENSP00000409229
HLA-DRB1	ENSP00000405960
KIFC1	ENSP00000407885
TRIM27	ENSP00000405229
HLA-DRA	ENSP00000404533
ATP6V1G2	ENSP00000395436
ZNRD1	ENSP00000387914
CSNK2B	ENSP00000410942
HLA-DQA1	ENSP00000401151
HLA-A	ENSP00000388724
LY6G5C	ENSP00000400950
HLA-DQB2	ENSP00000406872
TUBB	ENSP00000406811
PPP1R18	ENSP00000387526
STK19	ENSP00000391798
POU5F1	ENSP00000392877
OR2W1	ENSP00000389825
SKIV2L	ENSP00000399530
GNL1	ENSP00000394290
NCR3	ENSP00000389071
PPP1R10	ENSP00000413554
NFKBIL1	ENSP00000394486
ZNF311	ENSP00000415772
MICA	ENSP00000394553
TCF19	ENSP00000393875
ATAT1	ENSP00000398422
LINC01556	ENSP00000396675
SYNGAP1	ENSP00000414259
ABCF1	ENSP00000413319
OR2J2	ENSP00000396524
MICB	ENSP00000407092
HLA-E	ENSP00000390707
HLA-DOB	ENSP00000397268
MSMB	ENSP00000463092
ZBTB9	ENSP00000413557
OR9G1	ENSP00000461395
GABBR1	ENSP00000388035
HLA-B	ENSP00000400842